Accounting Concepts,ACC-111-W01,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,35,28
Accounting Concepts,ACC-111-W02,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,35,32
Accounting Concepts,ACC-111-W05,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,35,30
Accounting Concepts,ACC-111-W07,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,35,21
Organizational Accounting,ACC-112-W01,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,40,17
Individual Tax Procedures,ACC-124-W01,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,35,29
Payroll Accounting,ACC-150-W01,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,40,33
Intermediate Accounting I,ACC-201-W01,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,35,19
Computerized Accounting,ACC-240-W01,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,30,30
Integrated Accounting Software,ACC-246-W01,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,30,19
Auditing,ACC-260-W01,,2023 Fall 1,8/22/2023 - 10/11/2023,,Off Site,,,INT,35,18
General Regulations,ACM-101-002,M T W TH F,2023 Fall 1,10/10/2023 - 10/25/2023,04:00 PM - 09:30 PM,Thornley,1000,138,LEC,14,16
Aviation Sciences,ACM-102-001,M T W TH F,2023 Fall 1,8/22/2023 - 8/31/2023,08:00 AM - 01:30 PM,Thornley,1000,138,LEC,14,12
Aviation Sciences,ACM-102-002,M T W TH F,2023 Fall 1,8/22/2023 - 8/31/2023,04:00 PM - 09:30 PM,Thornley,1000,138,LEC,14,16
Basic Aircraft Electricity,ACM-105-002,M T W TH F,2023 Fall 1,9/1/2023 - 9/27/2023,04:00 PM - 06:25 PM,Thornley,1000,138,LEC,14,16
Basic Aircraft Electricity,ACM-105-002,M T W TH F,2023 Fall 1,9/1/2023 - 9/27/2023,06:30 PM - 09:30 PM,Thornley,1000,142B,LAB,14,16
Aircraft Drawings,ACM-110-002,M T W TH F,2023 Fall 1,9/28/2023 - 10/7/2023,04:00 PM - 09:30 PM,Thornley,1000,142B,LAB,14,16
Ground Handling and Servicing,ACM-115-001,M T W TH F,2023 Fall 1,9/29/2023 - 10/19/2023,08:00 AM - 10:25 AM,Thornley,1000,138,LEC,14,15
Ground Handling and Servicing,ACM-115-001,M T W TH F,2023 Fall 1,9/29/2023 - 10/19/2023,10:30 AM - 01:30 PM,Thornley,1000,142B,LAB,14,15
Materials & Corrosion Control,ACM-120-001,M T W TH F,2023 Fall 1,9/1/2023 - 9/28/2023,08:00 AM - 10:25 AM,Thornley,1000,138,LEC,14,15
Materials & Corrosion Control,ACM-120-001,M T W TH F,2023 Fall 1,9/1/2023 - 9/28/2023,10:30 AM - 01:30 PM,Thornley,1000,142B,LAB,14,15
Aircraft Electrical Systems,ACM-170-001,M T W TH F,2023 Fall 1,9/13/2023 - 10/7/2023,08:00 AM - 10:25 AM,Thornley,1000,140,LEC,14,11
Aircraft Electrical Systems,ACM-170-001,M T W TH F,2023 Fall 1,9/13/2023 - 10/7/2023,10:30 AM - 01:30 PM,Thornley,1000,142A,LAB,14,11
Aircraft Electrical Systems,ACM-170-002,M T W TH F,2023 Fall 1,8/22/2023 - 9/19/2023,04:00 PM - 06:25 PM,Thornley,1000,140,LEC,14,13
Aircraft Electrical Systems,ACM-170-002,M T W TH F,2023 Fall 1,8/22/2023 - 9/19/2023,06:30 PM - 09:30 PM,Thornley,1000,142A,LAB,14,13
Aircraft Fuel Systems,ACM-172-001,M T W TH F,2023 Fall 1,8/22/2023 - 8/31/2023,08:00 AM - 01:30 PM,Thornley,1000,142A,LAB,14,12
Aircraft Fuel Systems,ACM-172-002,M T W TH F,2023 Fall 1,9/20/2023 - 9/29/2023,04:00 PM - 09:30 PM,Thornley,1000,142A,LAB,14,13
Airframe Inspection,ACM-174-001,M T W TH F,2023 Fall 1,9/1/2023 - 9/12/2023,08:00 AM - 10:25 AM,Thornley,1000,140,LEC,14,12
Airframe Inspection,ACM-174-001,M T W TH F,2023 Fall 1,9/1/2023 - 9/12/2023,10:30 AM - 01:30 PM,Thornley,1000,142A,LAB,14,12
